candidate_key,existing_project_id,project_name_candidate,mention_count,first_report_date,latest_report_date,map_urls,land_area_mentions,price_mentions,sample_excerpt
holiday beach,,Holiday Beach,5,2025-04-16,2025-04-16,https://maps.app.goo.gl/gr7GZiwJ71dX1nzNA,75.913 m2; 43.702 m2; 3000 m2; 4700 m2; 65.528 m2; 4.700 m2; 3.000 m2; 38m²; 65m²; 47ha,"106 tr/m2; 143,4 tr/m2; 128 tr/m2; 153,6 tr/m2; 176 tr/m2; 161 tr/m2; 183 tr/m2; 115 tr/m2; 125.5 tr/m2; 188 tr/m2; 33 tr/m2; 215 tr/m2; 180 tr/m2; 6.5 tr/m2; 29.7 tr/m2; 40 tr/m2; 5,8 tỷ; 4,7 tỷ; 135 tr/m2; 156 tr/m2; ; 5.127 tỷ; 1.725 tỷ; 3.094 tỷ; 3,5 tỷ; 5,25 tỷ; 4,55 tỷ; 5 tỷ; 2.094 tỷ; 265 tỷ; 2.817 tỷ; 1.116 tỷ","P.ĐT xin báo cáo Sếp Admin 01 FS dự án Holiday Beach theo phương án kết hợp Khách sạn và Condotel, như sau: I. TỔNG QUAN DỰ ÁN VÀ CƠ CẤU SẢN PHẨM: Quy mô xây dựng: 2 tầng hầm, 30 tầng nổi, tổng diện tích GFA gồm hầm 75.913 m2. Tỷ lệ diện tích thương phẩm 43.702 m2 ~ 58%/GFA gồm hầm, ~ 66%/GFA chưa hầm. II. TỔNG MỨC ĐẦU TƯ DỰ KIẾN Tổng mức đầu tư (bao gồm VAT) được dự kiến xây dựng hoàn thiện tiêu chuẩn 5 sao. III. PHÂN BỔ GIÁ VỐN VÀ TÍNH GIÁ HÒA VỐN: Cơ cấu giá vốn/m2 thương phẩm Giá vốn phân bổ cho từng loại sản phẩm: Do tổng diện tích kinh doanh gồm nhiều loại hình (bán, cho thuê, shop, condotel), với giả định các sản phẩm có khả năng tạo ra dòng tiền cao hơn sẽ gánh tỷ trọng giá vốn lớn hơn nên áp dụng phương pháp Phân bổ giá vốn của từng loại sản phẩm theo doanh thu ước tính để có tỷ lệ phù hợp, từ đó làm cơ sở để tính toán giá hòa vốn cho từng loại hình sản phẩm. Giá hòa vốn khách sạn 5.3 tr/đêm (~ 106 tr/m2), giá có lợi nhuận 12% ~ 6 tr/đêm (~143,4 tr/m2). Giá hòa vốn Condotel: 1"
10ha đường long thuận,,10ha Đường Long Thuận,4,,,,"10ha; 16.536m2; 339,4m2","5.899 tỷ; 57 triệu/m2; 56 triệu/m2; 3.692 tỷ; 3tr/m2; 805 tỷ; 13triệu/m2; 1.322 tỷ; 7,4 Triệu/m2; 8.127 tỷ; 133 Triệu/m2; 110 Triệu/m2; 4.620 tỷ; 1.387 tỷ; 11 triệu/m2; 2.288 tỷ; 13,5 Triệu/m2","P.ĐT xin báo cáo Sếp Admin 01 về sơ bộ dự án 10ha Đường Long Thuận, Long Phước, Quận 9, TP.HCM PHƯƠNG ÁN 1: Dân số 1500 người Phương án 1a P.ĐT thực hiện tính theo phương án bố trí của phòng QH, tuy… Mai trình bày em cái này Nhầm, t2 chứ by Admin 01"
h2 02,,H2-02,4,,,,,600 tỷ; 120 tỷ; 17tr/m2; 342 tỷ; 53 tỷ; 63tr/m2; 70tr/m2; 85 tr/m2; 75tr/m2,"P.ĐT báo cáo sếp Admin 01 cập nhật FS dự án H2-02 với các giả định cập nhật sau: 1. Giá chào cập nhật 600 tỷ 2. Tiền sử dụng đất 120 tỷ. Qua làm việc, đối tác thông báo tiền sử dụng đất còn phải nộ… 2. 120 tỷ là số chốt chưa hay áng chừng nhỉ Begin quote, Admin 01, 5/27/2026 7:36 PM, 2... by Huy M - IM"
khu gia đình quân nhân quân chủng pk kq 8,,Khu gia đình quân nhân quân chủng PK-KQ (8,4,,,https://maps.app.goo.gl/ET75kfpwVX837fEE6; https://maps.app.goo.gl/47PLkeuNfzKvw38w8; https://maps.app.goo.gl/RXcEPNYx6EwAbDxF9,"8,46Ha; 5,52ha; 2,94ha; 8,46HA; 8,46ha","487 tỷ; 682 tỷ; 2.441 tỷ; 13,6 tr/m2; 3.209 tỷ; 24,8 tr/m2; 563tỷ; 231 tỷ","P.ĐT báo cáo anh Mr Mike1 -CEO về hiệu quả sơ bộ cho dự án Khu gia đình quân nhân quân chủng PK-KQ (8,46Ha) – Biên Hòa – Bộ Quốc Phòng. P.ĐT có tính thêm phương án theo phía đối tác cung cấp thông tin dự án có thể xây dựng được 15 tầng & độ cao tĩnh 55m. Dự án gồm 2 Khu 5,52ha và 2,94ha, PA quy hoạch phải đảm bảo dân số dưới 4000 dân cho mỗi khu để không hình thành đơn vị ở (trường hợp dân số vượt 4000 dân sẽ hình thành đơn vị ở, khi đó dự án phải bố trí cây xanh, các công trình công cộng….). Để tránh mất diện tích thương phẩm, có thể tăng thêm cao tầng và tiết kiệm chi phí phương án quy hoạch thiết kế không xây dựng hầm, gồm 2 tầng khối đế và 13 tầng tháp. 2 tầng khối đế sẽ bố trí để xe kết hợp căn hộ ở. Dưới đây là bảng so sánh và tổng hợp hiệu quả tài chính của 2 Phương án quy hoạch Nhận định: LNTT/TMĐT của 2 phương án là như nhau, tuy nhiên do phương án tăng thêm tầng và diện tích thương phẩm tăng thêm nên lợi nhuận sau thuế tăng từ 487 tỷ lên 682 tỷ. K.ĐT báo cáo anh Mr Mike1 -CEO"
không đạt hiệu quả tài chính,,không đạt hiệu quả tài chính,4,2022-08-22,2023-04-11,https://goo.gl/maps/AivqKgNA3GRARDNZ7; https://goo.gl/maps/eqfdgJBc7XT7VhAW8; https://goo.gl/maps/TKu4Ej99YDW51J8o6; https://goo.gl/maps/u7HMUhYJqdPGD9dz6,50ha; 6.95ha; 1.4ha; 35m2; 60m2; 321m2; 206m2; 120m2,"216 tỷ; 107 tỷ; ; 100tỷ; 1.4tr/m2; 408tỷ; 764 tỷ; 280 tỷ; 204 tỷ; 1,34tr/m2; 250 tỷ; 1,65tr/m2","Thao L - INVT 4/11/2023 10:35 AM Edited 7.Hiệu quả đầu tư: a.Trường hợp 1: Có tính chi phí đất, chi phí xây dựng và hoạt động. Dự án không đạt hiệu quả tài chính: NPV = -216 tỷ, IRR = 7,24%. Độ nhạy IRR: b.Phương án 2: Không tính chi phí đất, chỉ có chi phí xây dựng và chi phí hoạt động – thực hiện theo cách thức giữ được đất lâu dài. Dự án đạt hiệu quả tài chính: NPV = 107 tỷ, IRR = 24,45%. Độ nhạy IRR: Link vị trí: https://goo.gl/maps/AivqKgNA3GRARDNZ7 Link hồ sơ: https://belgroupvn.sharepoint.com/:f:/s/BeeGroupCEOOffice-03.KhiuT/Etmt7yNBh7FAocEwZEduLDgB98w43UUGiZXejtAUkUneSg?e=ooQRz3 *Thị trường Văn phòng: Image by Thao L - INVT"
đông trung,,Đông Trung,4,2022-11-02,2022-11-02,,4.8ha; 8000 m2; 0.9ha; 9.3ha; 3 ha; ; 4.6ha; 12ha; 5.4ha; 80m2; 88422m2; 1.4ha; 1249m2,"13.9tr/m2; 32,6tr/m2; 1.250 tỷ; 468 tỷ; 780 tỷ; 46.5 tr/m2; 65tr/m2; 45tr/m2; 60tr/m2; 55tr/m2; 78tr/m2; 36.5tr/m2; 35.8tr/m2; 40tr/m2; 48tr/m2; 43.8tr/m2; 3452.9 tỷ; 5959.2 tỷ; 3055.3 tỷ; 261 tỷ","P.ĐT báo cáo sếp Mr Mike1 -CEO về hiệu quả dự án Đông Trung theo Phương án: 4.8ha xây dựng NOTM và 8000 m2 đất công xây dựng Nhà ở Cán bộ. Thông số quy hoạch: 1. Khu 4.8ha: bố trí 2 khu chung cư cao 40 tầng (1.886 căn) và 2 khu thấp tầng (116 nền) 2. Khu nhà ở cán bộ: bố trí 2 block chung cư cao 18 tầng (~ 359 căn) Hiệu quả kinh tế * Note: - Để đảm bảo tỷ suất sinh lợi như trên cần xin được mức dân số như sau: => Dân số 3.950 được bố trí cho riêng khu 4.8ha (NOTM), dân số cho khu nhà ở lực lượng vũ trang nhân dân ~ 550 dân. - Đối với khu Nhà ở cán bộ, suất đầu tư đang lấy theo SĐT Bộ XD công bố, 13.6tr./m2 cho quy mô công trình 18 tầng. Trường hợp thực tế triển khai có thể tiết kiệm được chi phí xây dựng này để nâng hiệu quả kinh tế khu nhà ở cán bộ. Như vậy đối với phương án chia tách 2 dự án độc lập như trên, về mặt tổng thể vẫn đảm bảo hiệu quả kinh tế (điều kiện xin được dân số như trên) Ok tiến hành đi by Unknown User"
kcn thái hòa liễn sơn liên hòa khu vực 1 284 ha thuộc địa phận các xã thái hòa và xã bắc bìn,,KCN Thái Hòa – Liễn Sơn – Liên Hòa - Khu vực 1 (284 ha) thuộc địa phận các xã Thái Hòa và xã Bắc Bìn,4,2023-05-20,2023-06-16,https://goo.gl/maps/aChZ8vYJMZ8j6SjR7,284 ha,,"Sinh Nguyen-Dau Tu 6/16/2023 8:48 PM K.ĐT báo cáo anh Tuan Tran-CEO dự án KCN Thái Hòa – Liễn Sơn – Liên Hòa - Khu vực 1 (284 ha) thuộc địa phận các xã Thái Hòa và xã Bắc Bình, huyện Lập Thạch, tỉnh Vĩnh Phúc như sau: 1/ Vị trí Cách đường Quốc lộ 2C khoảng 80m. Nằm ở giáp ranh giữa Vĩnh Phúc và Tuyên Quang, là khu công nghiệp có vị trí xa nhất khi hướng về Hà Nội và Hải Phòng Cách trung tâm Thành phố Vĩnh Yên khoảng 22km Cách đường Vành Đai 5 (đường Vành Đai – Vùng Thủ Đô) khoảng 16,5km; Cách nút giao cao tốc Hà Nội – Lào Cai khoảng 16km. Cách sân bay quốc tế Nội Bài khoảng 52km Cách Trung Tâm Thủ đô Hà Nội khoảng 78km Cách Hải Phòng khoảng 175km 2/ Hiện trạng: Còn nhiều nhà dân sinh sống trong ranh đất quy hoạch dự án: 1 cụm lớn tập trung ở giữa và khá nhiều hộ nằm rải rác da beo trên đất quy hoạch dự án Có 1 khu mộ trên đất quy hoạch dự án Dự án không tiếp giáp trực tiếp đường Quốc Lộ 2C, chỉ tiếp cận đường nội bộ khu dân cư 3/ Pháp lý đất, pháp lý đầu tư Chưa có 4/ Quy hoạch Quyết đ"
đường ngô chí quốc,,đường Ngô Chí Quốc,4,2023-08-03,2023-08-03,https://goo.gl/maps/Empzn8zwhyULFrqV8,"2,15ha; 0,4ha; 0,82ha; 629,71m2; 21.470m2; 8.986m2; 643,71m2; 159,71m2",,"Thao L - INVT 3/23 11:45 AM Translate K.ĐT gửi lại anh Admin 01 báo cáo dự án đường Ngô Chí Quốc, Bình Chiểu, Thủ Đức – nguồn Mr. Duy như sau: 1. THÔNG TIN KHU ĐẤT 1.1. Vị trí và hiện trạng: a. Vị trí: - Vị trí: Khu đất nằm trên mặt tiền đường Ngô Chí Quốc, Bình Chiểu, Thủ Đức, TPHCM. - Link map: https://goo.gl/maps/Empzn8zwhyULFrqV8 - Khu đất có vị trí nằm trong phần địa giới TP.HCM giáp ranh tỉnh Bình Dương: + Cách nút giao Gò Dưa và đường quy hoạch Vành Đai 2 khoảng 3Km. + Cách Quốc lộ 13 khoảng 2Km. + Cách Dự án Phú Quang một con rạch. + Đối diện Khu chế xuất Linh Trung 2. + Cách khu nghĩa trang Gò Đình khoảng 400m. b. Hiện trạng: Đa phần là đất lúa và đất vườn. 1.2. Quy hoạch và mục tiêu đề xuất: a. Quy hoạch: - Theo QH 1/10.000 (được Mr. Duy cung cấp): Khu đất nghiên cứu được quy hoạch là ĐẤT KHU ĐÔ THỊ HỖN HỢP CẢI TẠO CHỈNH TRANG HOẶC TÁI PHÁT TRIỂN – CÓ THỂ BAO GỒM CÁC KHU VỰC PHÁT TRIỂN MỚI (có thể sử dụng cho một hoặc nhiều trong số các chức năng: nhà ở, dịch vụ, CTCC, sản xu"
felicia đà nẵng,,Felicia Đà Nẵng,4,2024-11-21,2025-02-19,https://maps.app.goo.gl/cuqyDKdtbfwW1DAa8,"1.220m²; 22.204m²; 35,6m²; 23m²; 39m²",230 tỷ; 183 tỷ,"Huy M - IM 2/19/2025 9:31 PM Translate K.ĐT báo cáo anh Mr Mike1 -CEO về dự án Felicia Đà Nẵng theo phương án tổ hợp khách sạn và Condotel, mặt tiền đường Võ Nguyên Giáp, Lô B5, thuộc khu phúc hợp đô thị, TMDV Royal Era 1, P. Mỹ An, Q. Ngũ Hành Sơn, T. Đà Nẵng như sau: 1/ Vị trí: - Mặt tiền tiếp giáp đường Võ Nguyên Giáp, cách giao lộ đường Võ Nguyên Giáp và Võ Văn Kiệt khoảng 1,2km, cách giao lộ đường Võ Nguyên Giáp và Hồ Xuân Hương khoảng 1,4km - Bên trái giáp Serene Beach, cách Holiday Beach khoảng 350m 2/ Hiện trạng: Công trình xây dựng khách sạn dở dang, với 2 hầm + 25 tầng nổi. Công trình đã cất nóc (theo thông tin anh Sơn - Trợ lý) => Vẫn chưa đánh giá được tính phù hợp của hiện trạng xây dựng và các hồ sơ thiết kế, xây dựng được duyệt 3/ Pháp lý Đất: Đã có GCN QSDĐ cấp ngày 17/03/2011 - Diện tích đất: 1.220m² - Mục đích sử dụng: Đất cơ sở sản xuất, kinh doanh - Thời hạn sử dụng: Ban đầu GCN cấp thời hạn sử dụng lâu dài. Nhưng đến ngày 31/10/2017, thay đổi thời hạn sử dụng đất t"
đầu tư xây dựng đường cao tốc tp,,Đầu tư xây dựng đường Cao tốc TP,4,2024-12-10,2024-12-10,https://www.google.com/maps/d/u/1/edit?mid=10gTnNN6aieu1u3Xx49gGnnp177W4zag&usp=sharing,,1474 tỷ; 1000 tỷ,"Huy M - IM 12/10/2024 12:03 PM Translate Dự án Đầu tư xây dựng đường Cao tốc TP.Hồ Chí Minh – Thủ Dầu Một - Chơn Thành là trục cao tốc Bắc Nam của tỉnh Bình Dương, Bình Phước (trục xuyên tâm cắt qua đường Vành đai 4, Vành đai 3, dẫn đến đường Vành đai 2 TP.Hồ Chí Minh), nối tiếp tuyến cao tốc Gia Nghĩa - Chơn Thành (cao tốc Bắc Nam phía Tây) Dự án có ý nghĩa, vai trò rất quan trọng đối với sự phát triển kinh tế - xã hội gắn với củng cố an ninh - quốc phòng của vùng Tây nguyên và Đông Nam bộ; rút ngắn thời gian lưu thông, thúc đẩy các hoạt động thương mại, vận tải, thông thương mua bán trong khu vực; Bình Dương Dự kiến dự án sẽ khởi công quý I/2025 và hoàn thành năm 2027! Khi hoàn thành sẽ là trục kinh tế chính, cùng với QL13 + Mỹ Phước-Tân Vạn là trung tâm phát triển của Bình Dương. * Đoạn qua Bình Phước (thông qua 5/2024) - Dài 7 km - Vốn 1474 tỷ (1000 tỷ ngân sách T.W) - Điểm đầu nằm ở ranh Bình Dương và Bình Phước - Điểm cuối tại thị xã Chơn Thành - 4 làn xe, có làn dừng khẩn cấp - "
khách sạn,,Khách sạn,4,2025-04-08,2025-04-17,,"597.7m2; 1,381m2; 1,120m2; 4.122m2; 1.381m2",707tr/m2; 350tr/m2; 2.1 tỷ; 110tr/m2; 2.4 tỷ,"Thao L - INVT 4/17/2025 6:20 PM K.ĐT báo cáo anh Mr Mike1 -CEO về các chỉ tiêu hoạt động của 06 dự án Khách sạn: A. THÔNG SỐ CƠ BẢN 📷 B. THÔNG SỐ HOẠT ĐỘNG CHI TIẾT 1. B11- Gần Alacarte - Diện tích đất: 597.7m2; Loại đất: Đất ở tại đô thị; Thời hạn: Lâu dài 📷 2. Serence - Diện tích đất: 1,381m2; Loại đất: Cơ sở sản … Em gửi lại bảng tính nhanh ạ Tuy nhiên lúc này tính cho fs lô B11 thì an... by Huy M - IM"
cát lái sky habitat,,Cát Lái - Sky Habitat,3,,,,,690 tỷ; 50 tỷ; 128 tỷ; 818 tỷ; 80.8tr/m2; 424 tỷ; 340 tỷ; 120 tỷ; 938 tỷ; 600 tỷ,"P.ĐT báo cáo sếp Admin 01 cập nhật FS cho dự án Cát Lái - Sky Habitat, theo PA giá chào 690 tỷ bao tiền sử dụng đất (LUR) 1. Thông tin cập nhật: - Giá chào: 690 tỷ (bao gồm LUR) - Giá vốn: Qua trao đổi với đơn vị giới thiệu, Công ty dự án đang ghi nhận giá vốn chỉ 50 tỷ => Điều này dẫn đến thiệt hại về thuế TNDN cho công ty mình khi mình bỏ ra 690 tỷ mua cổ phần nhưng BCTC chỉ ghi nhận 50 tỷ. Tổng thiệt hại thuế TNDN ước tính là 128 tỷ, tức bằng (690-50)x20% Như vậy tổng giá đầu vào bao gồm giá chào và thiệt hại thuế dự kiến sẽ là 818 tỷ, đơn giá ~ 102tr./m2 - Giá bán: cập nhật từ Anh An, giá bán trung bình dự án là 80.8tr/m2 (chưa V, tim tường) 2. Hiệu quả: - LNTT (điều chỉnh thiệt hại về thuế): 424 tỷ - LNST (điều chỉnh thiệt hại về thuế): 340 tỷ - IRR: 15,5% - LNTT/TMĐT: 25,2% => Dự án vẫn đảm bảo hiệu quả kinh tế. 3. Điểm lưu ý: Rủi ro liên quan đến LUR: Do chúng ta đã tiếp cận được thông tin công ty dự án có thể còn phải đóng 120 tỷ theo hệ số K. Nên trường hợp giá chào 690 tỷ, vẫ"
gộp là 1,,gộp là 1,3,,,,4.600 m2; 4.613 m2,"190 tr/m2; 380 tr/m2; 1.780 tỷ; 1.383 tỷ; 332 tỷ; 1.387 tỷ; 1.047 tỷ; 227 tr/m2; 64 tỷ; 1.643 tỷ; 1.379 tỷ; 5,3 tỷ; 258 tỷ; 180 tỷ; 950 tỷ; 1.062 tỷ; 5.560 tỷ; 4.826 tỷ; 108 tr/m2; 767 tỷ; 100 tr/m2; 21 tr/m2; 841 tỷ; 738 tỷ","P.ĐT báo cáo Sếp Admin 01 về phương án gộp 2 lô Võ Văn Kiệt ~ diện tích 4.600 m2 như sau: 1. VỊ TRÍ VÀ RANH ĐẤT 2 LÔ ĐẤT: Vị trí theo đường link: Vị Trí Dự án 2. THÔNG SỐ QUY HOẠCH Trên cơ sở phòng QH giả định: Giữ nguyên chỉ tiêu dân số của 2 lô, theo đó tổng dân số cho dự án gộp là 1.290 dân (Lô Kế VVK là 740, Lô VVK là 550 dân). Điều chỉnh tăng hệ số sử dụng đất lên 13.7 (tăng 0.9 lần so với QH Lô Kế VVK là 12.8) đồng thời tăng 3 tầng nổi. + Diện tích đất của 2 lô : 4.613 m2 + Quy mô xây dựng: 2 Block 30 tầng nổi, 3 tầng hầm. + Tổng sản phẩm: 833 căn gồm 812 căn hộ ở + 21 căn Shop TM khối đế. + Hệ số sử dụng đất: 13,7 lần. 3. HIỆU QUẢ DỰ ÁN Giả định về Giá mua dự án: * Lô A17-02 (gọi là DA Võ Văn Kiệt) cố định ~ 190 tr/m2. * Lô A17-01 (gọi là DA Kế Võ Văn Kiệt) theo đơn giá chào là 380 tr/m2. 3.1 Chi phí (Gồm VAT): a) Chi phí đất: 1.780 tỷ đồng ~ 52% TMĐT, gồm CP mua DA + Tiền SDĐ nộp: + CP nhận chuyển nhượng: 1.383 tỷ đồng ~ 298 tr.đ/m2. + Tiền sử dụng đất bổ sung: 332 tỷ đồng, bằn"
h2 02 sky habitat thuộc kdc cát lái i,,H2-02 (Sky Habitat) thuộc KDC Cát Lái I,3,,,,"988.9 m2; 54.949 m2; 137,1 m2; 31.024 m2","78.8 tr/m2; 660 tỷ; 16.5 tr/m2; 363 tỷ; 290 tỷ; 65 tỷ; 584 tỷ; 74,5tr/m2","Dạ P.ĐT báo cáo sếp Admin 01 dự án H2-02 (Sky Habitat) thuộc KDC Cát Lái I. Thông tin tổng quan: 📷 Lô H2-02 thuộc KDC Cát Lái có CĐT là Công ty Invesco. Năm 2014, Invesco đã chuyển nhượng lại 2 lô… Check kỹ lại xem, kêu bên Phòng Kinh Doanh đánh giá xem giá bán ổn không, số lượng ít vậy thì hạn chế bán hàng như thế nào Ok Sếp. Sáng PĐT cũng khảo sát hiện trạng k... by Huy M - IM"
nhà ở,,nhà ở,3,,,https://maps.app.goo.gl/v8GdHbU3xb5G8JFs9; https://maps.app.goo.gl/bKZVkKUcnYGRLJWw5,"907.5 m2; 052.1 m2; 8,739 m2; 1,313 m2; 48,901 m2; 82,557 m2; 7.276 m2; 276,8 m2; 824,3 m2; 452,5 m2; 6.800 m2; 450 m2; 3,22 ha; 55.730 m2; 31.933 m2; 3.22ha","1,500 tỷ; 53 Triệu/m2; 63 Triệu/m2; 1,094 tỷ; 657 tỷ; 13.4 triệu/m2; 400 tỷ; 24 tỷ; 12.4 tỷ; 225 tỷ; 119 tỷ; 79 tỷ; 2,751 tỷ; 1,917 tỷ; 1,127 tỷ; 13.7 triệu/m2; 337 tỷ; 53 tỷ; 413 tỷ; 316 tỷ; 13 tỷ; 300 tỷ; 360 tỷ; 16,5 tỷ; 1.409 tỷ; 321 tỷ; 756,8 tỷ; 42 tỷ; 288 tỷ; 1.698 tỷ; 98 tỷ; 309 tỷ; 200 tỷ","P.ĐT xin báo cáo Sếp Admin 01 về khu đất phường Phú Thọ Hòa, Quận Tân Phú, TP HCM (Nguồn Sếp Tâm) như sau: 1. Pháp lý đất: Diện tích: 13,907.5 m2 Mục đích: Đất trồng cây lâu năm Thời hạn: 50 năm ( 07/2011 – 07/2061) Nguồn gốc sử dụng: Nhà nước công nhận quyền sử dụng đất Vị trí: https://maps.app.goo.gl/v8GdHbU3xb5G8JFs9 Ranh đất: Hạ tang giao thông nội bộ: có bề rộng mặt đường hẹp (7m) và vị trí khó khả thi phát triển thành khu thương mại dịch vụ. 2. Quy hoạch: 3. Đánh giá: Hiện trạng khu đất là đất trồng cây lâu năm có thời hạn sử dụng đến tháng 07/2061. Căn cứ theo Tra cứu Quy hoạch như trên, Khu đất có quy hoạch công viên cây xanh chiếm tỉ trọng lớn 56% và phần còn lại là đất TMDV, không có quy hoạch đất ở. Dựa trên vị trí khu đất và hạ tầng xung quanh, khu đất khó phát triển TMDV mà chỉ phù hợp phát triển dự án nhà ở. Tuy nhiên, qua trao đổi với phòng Quy hoạch, khu đất khó điều chỉnh quy hoạch sang đất ở và đã hết chỉ tiêu dân số cùng chưa duyệt quy hoạch phân khu. Vì vậy, đề xuất"
đấu giá 102ha,,đấu giá 102ha,3,,,https://maps.app.goo.gl/QVMCmJp83pMBNKrL8,"102ha; 443,5m2",1.696 tỷ; 5.013 tỷ; 15.917 tỷ; 17.218 tỷ; 2.583 tỷ; 1.281 tỷ,"P.ĐT báo cáo Sếp Mr Mike1 -CEO về hiệu quả cho dự án đấu giá 102ha, Phước An, Nhơn Trạch, Đồng Nai như sau: 1/ VỊ TRÍ DỰ ÁN ĐẤU GIÁ https://maps.app.goo.gl/QVMCmJp83pMBNKrL8 2/ THÔNG SỐ QUY HOẠCH DỰ ÁN: Theo Phương án đấu giá ngày 10/11/2025 giá khởi điểm 1.696 tỷ đồng. Tuy nhiên, Thông báo đấu giá ngày 24/11/2025 mức giá khởi điểm tăng lên 5.013 tỷ đồng. 2.1 Hạng mục đất đấu giá, Trong đó Đất ở chiếm 34,6% và Đất CTCC chiếm 8,1% + TỔNG DIỆN TÍCH TOÀN KHU: 1.019.443,5m2 (102ha) 2.2 Hạng mục diện tích xây dựng 3/ ĐỀ XUẤT GIÁ BÁN CHO DỰ ÁN CỦA P.RD 4/ HIỆU QUẢ DỰ ÁN ĐẦU TƯ 5.1 Suất vốn đầu tư + Suất vốn đầu tư All in gồm VAT Nhà Liên Kế: 8 Triệu đồng/m2 + Suất vốn đầu tư All in gồm VAT Nhà Biệt thự: 9,6 Triệu đồng/m2 + Suất vốn đầu tư All in gồm VAT Chung cư 5 tầng + để xe nổi: 10 Triệu đồng/m2 5.2 Cơ cấu vốn dự án 5.3 Hiệu quả dự án + Tổng mức đầu tư gồm lãi chưa VAT: 15.917 tỷ đồng (Trong đó nghĩa vụ NOXH dự kiến 10% giá đấu) + Doanh thu bán hàng chưa VAT: 17.218 tỷ đồng Trong đó giá b"
đấu giá 77ha,,đấu giá 77ha,3,,,,"77ha; 835,2m2; 049,5m2; 855,1 m2; 25.466m2; 414,9m2; 084,6m2; 417,2m2; 379,m2; 884,m2","31.158 tỷ; 2.900 tỷ; 28.282 tỷ; 22.319 tỷ; 4.500 tỷ; 17.749 tỷ; 1.900 tỷ; 1.550 tỷ; 5.391 tỷ; 4.755 tỷ; 6,2 triệu/m2; 7,5 Triệu/m2; 9,96 Triệu/m2; 11,96 Triệu/m2; 7.296 tỷ; 7.000 tỷ","P.ĐT báo cáo Sếp Mr Mike1 -CEO về hiệu quả cho dự án đấu giá 77ha, Long Thành, Đồng Nai sau khi cập nhật theo giá CHI TIẾT từng phân khu của phòng R&D so với ngày báo cáo 08/08/2025 như sau: Tổng diện tích dự án: 772.835,2m2 Doanh thu chưa bao gồm VAT: 31.158 tỷ đồng (Tăng 2.900 tỷ đồng so với ngày báo cáo 8/8/2025 là 28.282 tỷ đồng 🡪 Lý do: giá nhà liên kế sau khi khảo sát và điều chỉnh tăng khoảng 10%, Biệt thự không đổi, phần công trình công cộng chuyển từ bán đất sang bán sàn xây dựng) 🡪 Thời gian bán hàng kéo dài 4 năm Tổng mức đầu tư 22.319 tỷ đồng, tăng 4.500 tỷ đồng so với ngày báo cáo 8/8/2025 là 17.749 tỷ 🡪 Lý do tăng: Do dự trù nghĩa vụ NOXH là 1.900 tỷ và theo thông tin của Trung Tâm phát triển quỹ đất CĐT phải xây dựng hoàn thành các công trình công cộng mới được phép chuyển nhượng nên phát sinh thêm chi phí xây dựng công trình công cộng 1.550 tỷ đồng, lãi vay tăng do tăng khoảng vay đấu giá lên 70%, chi phí dự phòng tăng thêm. Trong đó: Nghĩa vụ NOXH bổ sung dự trù 40% so"
xung quanh,,xung quanh,3,2022-08-10,2022-08-10,,,167 tr/m2,"Dạ bên đó đang bán từ 107 tr đến 167 tr/m2 tùy hệ số tầng, góc, view. Xin gửi Sếp giá căn hộ các dự án xung quanh... by Hanh T - INVT, has an attachment."
50ha thuộc huyện vĩnh tường yên lạc,,50ha thuộc huyện Vĩnh Tường – Yên Lạc,3,2022-08-22,2024-12-16,,"50ha; 12ha; 6,9ha; 2,4ha; 2,7ha; 3,2ha; 7,1ha; 1,3ha; 0.4ha; 0.8ha; 0.1ha",1tr/m2,"Huy M - IM 12/16/2024 5:48 PM Translate KĐT gửi anh @Tuan @Tran-CEO báo cáo dự án 50ha thuộc huyện Vĩnh Tường – Yên Lạc, tỉnh Vĩnh Phúc: 1) Vị trí và hiện trạng: • Dự án nằm trên trục đường QL2C (trục đường gồm 2 làn oto, 2 làn xe máy), cách TP. Vĩnh Yên khoảng 10km và nằm đoạn giữa đường Vành đai 3 (định đướng hoàn thành vào 2030) và Vành đai 4 (chưa có thông tin cụ thể) tỉnh Vĩnh Phúc. • Hiện trạng: Đang xin chủ trương tỉnh uỷ về việc đấu thầu thực hiện dự án. Đơn giá bồi thường ước tính 1tr/m2 cho diện tích toàn khu 2) Pháp lý đất: Đang ở bước chuẩn bị ĐBGPMB, đa phần là đất lúa. 3) Pháp lý đầu tư: Đang xin chủ trương đấu thầu dự án. 4) Pháp lý quy hoạch: Thông số thương phẩm và các thông số dựa vào đề xuất trình xin chủ trương kèm bảng vẽ 1/500 theo đề xuất (chưa được duyệt) 5) Pháp lý xây dựng: Theo đề xuất xin chủ trương được cung cấp. 8) Hiệu quả tài chính: • Lợi nhuận trước ... by Huy M - IM"
anantara tham chiếu,,ANANTARA THAM CHIẾU,3,2022-11-18,2022-11-18,https://goo.gl/maps/oJBLCYE9ShbB6ZA6A,,"759 tỷ; 247,7 tỷ; 241,13 tỷ; 96,357 tỷ; 6,7 tỷ; 231,22 tỷ; 550 tỷ",Thao L - INVT 11/18/2022 3:02 PM Edited V. ĐỊNH GIÁ TÀI SẢN DỰ ÁN ANANTARA THAM CHIẾU THEO DỰ ÁN PHÚ HẢI Bảng so sánh: Vị trí 02 dự án: image 3. ... by Thao L - INVT
